year,sigungu,sigungu_code,agg_emi_s1_estab
2013,충청남도 태안군,34580,28510513
2013,전라북도 남원시,35050,87.982002
2013,전라북도 김제시,35060,0
2013,전라북도 순창군,35560,22214.9
2013,전라북도 고창군,35570,24966.388
2013,전라남도 목포시,36010,414.57999
2013,전라남도 순천시,36030,2610779.2
2013,전라남도 나주시,36040,690003.81
2013,전라남도 함평군,36630,49.082466
2013,전라남도 영광군,36640,37854.969
2013,경상북도 안동시,37040,59521.305
2013,경상북도 영천시,37070,131.347
2013,경상북도 상주시,37080,191.09801
2013,경상북도 청송군,37530,47
2013,경상북도 칠곡군,37590,126242.7
2013,경상북도 예천군,37600,58
2013,경상북도 봉화군,37610,333917.16
2013,경상북도 울진군,37620,9273.9004
2013,경상남도 통영시,38050,8389.972
2013,경상남도 밀양시,38080,20
2013,경상남도 의령군,38510,147746.52
2013,경상남도 창녕군,38530,127021.82
2013,경상남도 고성군,38540,23059096
2013,경상남도 하동군,38560,27490124
2013,경상남도 산청군,38570,47.799999
2013,제주특별자치도 제주시,39010,1005195.6
2013,제주특별자치도 서귀포시,39020,997656.64
