sigungu,sigungu_code,change(tCO2),change(MtCO2)
서울특별시 종로구,11010,-188655.45,-0.18865545
서울특별시 중구,11020,-130573.4,-0.1305734
서울특별시 용산구,11030,-1010886.54,-1.01088654
서울특별시 광진구,11050,8672.493,0.008672493
서울특별시 동대문구,11060,-43967.33,-0.04396733
서울특별시 서대문구,11130,-191956.739,-0.191956739
서울특별시 마포구,11140,294245.3,0.2942453
서울특별시 강서구,11160,1725760.05,1.72576005
서울특별시 금천구,11180,-13426.122,-0.013426122
서울특별시 영등포구,11190,-31897.658,-0.031897658
서울특별시 서초구,11220,-170317.3,-0.1703173
서울특별시 강남구,11230,-70264729,-70.264729
서울특별시 송파구,11240,-171070,-0.17107
부산광역시 남구,21070,3396.59399,0.003396594
부산광역시 사하구,21100,-3140294.6,-3.1402946
부산광역시 강서구,21120,-513436.82,-0.51343682
부산광역시 수영구,21140,-442.795742,-0.000442796
대구광역시 중구,22010,-66726.4322,-0.066726432
대구광역시 동구,22020,39720.765,0.039720765
대구광역시 북구,22050,-63842.965,-0.063842965
대구광역시 달서구,22070,11353.93,0.01135393
대구광역시 달성군,22510,-128304.44,-0.12830444
인천광역시 중구,23010,-137931.85,-0.13793185
인천광역시 동구,23020,-842831.18,-0.84283118
인천광역시 연수구,23040,-108487.16,-0.10848716
인천광역시 남동구,23050,-40794.536,-0.040794536
인천광역시 부평구,23060,-20587.49,-0.02058749
인천광역시 서구,23080,-8676915.9,-8.6769159
인천광역시 미추홀구,23090,-92780.401,-0.092780401
광주광역시 서구,24020,-379.453,-0.000379453
광주광역시 북구,24040,-104686.291,-0.104686291
광주광역시 광산구,24050,-2669.48,-0.00266948
대전광역시 유성구,25040,116921.47,0.11692147
대전광역시 대덕구,25050,-153598.52,-0.15359852
울산광역시 중구,26010,250.22499,0.000250225
울산광역시 남구,26020,-11497294,-11.497294
울산광역시 동구,26030,-88638.3,-0.0886383
울산광역시 울주군,26510,2963456.9,2.9634569
세종시 세종시,29010,598395.1,0.5983951
경기도 수원시,31011,-549934.42,-0.54993442
경기도 성남시,31021,-931785.3,-0.9317853
경기도 안양시,31041,711363.6,0.7113636
경기도 부천시,31050,-336322.06,-0.33632206
경기도 평택시,31070,-3085044,-3.085044
경기도 안산시,31091,-3478306.88,-3.47830688
경기도 오산시,31140,6209.41,0.00620941
경기도 시흥시,31150,-597886.3,-0.5978863
경기도 의왕시,31170,-129398.581,-0.129398581
경기도 용인시,31191,-1333270.17,-1.33327017
경기도 파주시,31200,-3851383.9,-3.8513839
경기도 안성시,31220,107728.209,0.107728209
경기도 김포시,31230,368725.908,0.368725908
경기도 화성시,31240,2112532.1,2.1125321
경기도 광주시,31250,-83503.53,-0.08350353
경기도 양주시,31260,-25168.39,-0.02516839
강원도 원주시,32020,-102263.532,-0.102263532
강원도 강릉시,32030,-3023857.6,-3.0238576
강원도 영월군,32530,-2852493.6,-2.8524936
강원도 평창군,32540,-37706.51,-0.03770651
강원도 정선군,32550,7795.65,0.00779565
충청북도 충주시,33020,-2617.554,-0.002617554
충청북도 청주시,33040,-2551997.6,-2.5519976
충청북도 음성군,33570,13780.69,0.01378069
충청북도 단양군,33580,391879,0.391879
충청남도 천안시,34011,-1284911.28,-1.28491128
충청남도 보령시,34030,-7937513,-7.937513
충청남도 아산시,34040,-3353686.9,-3.3536869
충청남도 서산시,34050,-1878005.5,-1.8780055
충청남도 당진시,34080,7546195,7.546195
충청남도 금산군,34510,-1490,-0.00149
충청남도 서천군,34540,-59433,-0.059433
전라북도 전주시,35011,-678187.78,-0.67818778
전라북도 군산시,35020,-3315808,-3.315808
전라북도 익산시,35030,-418333.68,-0.41833368
전라북도 정읍시,35040,-30966.529,-0.030966529
전라북도 완주군,35510,-137430.79,-0.13743079
전라북도 무주군,35530,-17437.6301,-0.01743763
전라북도 순창군,35560,28307.427,0.028307427
전라남도 여수시,36020,-1755722,-1.755722
전라남도 광양시,36060,38923682.7,38.9236827
전라남도 담양군,36510,-45934.187,-0.045934187
전라남도 곡성군,36520,-89201.246,-0.089201246
전라남도 영암군,36610,117264.2,0.1172642
경상북도 포항시,37011,27091791.8,27.0917918
경상북도 경주시,37020,-4078875.924,-4.078875924
경상북도 김천시,37030,-695658.35,-0.69565835
경상북도 구미시,37050,-4321988.4,-4.3219884
경상북도 영주시,37060,-127281.5,-0.1272815
경상북도 경산시,37100,306.605,0.000306605
경상남도 진주시,38030,-104266.16,-0.10426616
경상남도 사천시,38060,-69042.594,-0.069042594
경상남도 김해시,38070,317624.531,0.317624531
경상남도 밀양시,38080,3336.9429,0.003336943
경상남도 거제시,38090,-96165.58,-0.09616558
경상남도 양산시,38100,-329441.07,-0.32944107
경상남도 창원시,38111,-540335.9,-0.5403359
경상남도 함안군,38520,-394570.68,-0.39457068
경상남도 고성군,38540,-13514299,-13.514299
서울특별시 성동구,11040,-9545.122,-0.009545122
서울특별시 중랑구,11070,-149.149,-0.000149149
서울특별시 성북구,11080,3093.1732,0.003093173
서울특별시 강북구,11090,76.8549,7.68549E-05
서울특별시 도봉구,11100,-16431.078,-0.016431078
서울특별시 노원구,11110,-15496.754,-0.015496754
서울특별시 은평구,11120,25477.69601,0.025477696
서울특별시 양천구,11150,204211.674,0.204211674
서울특별시 구로구,11170,12116.6871,0.012116687
서울특별시 동작구,11200,-34083.0951,-0.034083095
서울특별시 관악구,11210,-17771.7644,-0.017771764
서울특별시 강동구,11250,-2671.5382,-0.002671538
부산광역시 중구,21010,50958.238,0.050958238
부산광역시 서구,21020,-101390.8257,-0.101390826
부산광역시 부산진구,21050,-2668.228,-0.002668228
부산광역시 동래구,21060,6843.789,0.006843789
부산광역시 북구,21080,6823.8433,0.006823843
부산광역시 해운대구,21090,246876.18,0.24687618
부산광역시 금정구,21110,2482.5012,0.002482501
부산광역시 연제구,21130,10792.507,0.010792507
부산광역시 사상구,21150,-10696.257,-0.010696257
부산광역시 기장군,21510,6994.711,0.006994711
대구광역시 서구,22030,-13430.9847,-0.013430985
대구광역시 수성구,22060,6835.4839,0.006835484
인천광역시 계양구,23070,-11714.4538,-0.011714454
인천광역시 옹진군,23520,-4431578,-4.431578
광주광역시 동구,24010,6280.9302,0.00628093
광주광역시 남구,24030,3077.0263,0.003077026
대전광역시 동구,25010,-41161.401,-0.041161401
대전광역시 중구,25020,-16279.257,-0.016279257
대전광역시 서구,25030,-19932.387,-0.019932387
울산광역시 북구,26040,-12930.36,-0.01293036
경기도 의정부시,31030,39821.35,0.03982135
경기도 광명시,31060,-4991.279,-0.004991279
경기도 고양시,31101,-1219875.12,-1.21987512
경기도 구리시,31120,-27689.104,-0.027689104
경기도 남양주시,31130,11267.674,0.011267674
경기도 군포시,31160,-152993.11,-0.15299311
경기도 하남시,31180,48616.854,0.048616854
경기도 이천시,31210,773463.78,0.77346378
경기도 포천시,31270,49514.471,0.049514471
경기도 여주시,31280,-481537.392,-0.481537392
경기도 가평군,31570,5.720999,5.721E-06
강원도 춘천시,32010,-14457.125,-0.014457125
강원도 동해시,32040,-2832484,-2.832484
강원도 태백시,32050,5775.830303,0.00577583
강원도 속초시,32060,-15916.236,-0.015916236
강원도 삼척시,32070,5862660,5.86266
강원도 홍천군,32510,-14256.789,-0.014256789
강원도 양양군,32610,-70.584999,-7.0585E-05
충청북도 제천시,33030,-663308.8,-0.6633088
충청북도 영동군,33540,25564.73,0.02556473
충청북도 진천군,33550,40488.033,0.040488033
충청북도 괴산군,33560,-204.31785,-0.000204318
충청남도 공주시,34020,-5032.714,-0.005032714
충청남도 논산시,34060,5341.192,0.005341192
충청남도 부여군,34530,-12030.3132,-0.012030313
충청남도 청양군,34550,-14106.848,-0.014106848
충청남도 예산군,34570,15246.031,0.015246031
충청남도 태안군,34580,-4371472,-4.371472
전라북도 남원시,35050,3229.256998,0.003229257
전라북도 김제시,35060,1424.671,0.001424671
전라북도 고창군,35570,-19402.4661,-0.019402466
전라남도 순천시,36030,-2454138.72,-2.45413872
전라남도 나주시,36040,-296075.22,-0.29607522
전라남도 영광군,36640,-30463.1321,-0.030463132
경상북도 안동시,37040,480308.135,0.480308135
경상북도 청송군,37530,-24,-0.000024
경상북도 칠곡군,37590,-113330.561,-0.113330561
경상북도 예천군,37600,791,0.000791
경상북도 봉화군,37610,14717.72,0.01471772
경상북도 울진군,37620,13658.0996,0.0136581
경상남도 통영시,38050,-3084.6692,-0.003084669
경상남도 의령군,38510,-106999.442,-0.106999442
경상남도 창녕군,38530,-75988.949,-0.075988949
경상남도 하동군,38560,-13526447,-13.526447
경상남도 산청군,38570,1075.200001,0.0010752
제주특별자치도 제주시,39010,-345158.23,-0.34515823
제주특별자치도 서귀포시,39020,-841676.54,-0.84167654
