year,sigungu,sigungu_code,agg_emi_s2_estab
2023,서울특별시 종로구,11010,19506.552
2023,서울특별시 중구,11020,1527013.4
2023,서울특별시 용산구,11030,91525.5
2023,서울특별시 광진구,11050,24515.263
2023,서울특별시 동대문구,11060,201195.62
2023,서울특별시 서대문구,11130,4571.4484
2023,서울특별시 마포구,11140,134449.78
2023,서울특별시 강서구,11160,226434.18
2023,서울특별시 금천구,11180,69520.481
2023,서울특별시 영등포구,11190,36100.122
2023,서울특별시 서초구,11220,342027.2
2023,서울특별시 강남구,11230,1.89E+05
2023,서울특별시 송파구,11240,237919.73
2023,부산광역시 남구,21070,2433.825
2023,부산광역시 사하구,21100,250897.87
2023,부산광역시 강서구,21120,587572.21
2023,부산광역시 수영구,21140,604.86798
2023,대구광역시 중구,22010,20216.631
2023,대구광역시 동구,22020,41072.718
2023,대구광역시 북구,22050,23529.444
2023,대구광역시 달서구,22070,32641.861
2023,대구광역시 달성군,22510,252292.86
2023,인천광역시 중구,23010,302508.36
2023,인천광역시 동구,23020,1420987
2023,인천광역시 연수구,23040,255543.36
2023,인천광역시 남동구,23050,24586.503
2023,인천광역시 부평구,23060,1.37E+05
2023,인천광역시 서구,23080,386919.84
2023,인천광역시 미추홀구,23090,38832.379
2023,광주광역시 서구,24020,87694.024
2023,광주광역시 북구,24040,181560.89
2023,광주광역시 광산구,24050,251254.32
2023,대전광역시 유성구,25040,1.48E+05
2023,대전광역시 대덕구,25050,257178.58
2023,울산광역시 중구,26010,4.83E+03
2023,울산광역시 남구,26020,4515673.9
2023,울산광역시 동구,26030,438761.85
2023,울산광역시 울주군,26510,3667106.9
2023,세종시 세종시,29010,412308.17
2023,경기도 수원시,31011,497883.45
2023,경기도 성남시,31021,150992.65
2023,경기도 안양시,31041,301369.07
2023,경기도 부천시,31050,137041.31
2023,경기도 평택시,31070,5512857.4
2023,경기도 안산시,31091,613154.65
2023,경기도 오산시,31140,111646.65
2023,경기도 시흥시,31150,210922.31
2023,경기도 의왕시,31170,24493.054
2023,경기도 용인시,31191,1825189.2
2023,경기도 파주시,31200,2327518
2023,경기도 안성시,31220,88243.356
2023,경기도 김포시,31230,19149.72
2023,경기도 화성시,31240,4551785.8
2023,경기도 광주시,31250,21134.925
2023,경기도 양주시,31260,19818.479
2023,강원도 원주시,32020,82576.045
2023,강원도 강릉시,32030,273750.64
2023,강원도 영월군,32530,3.49E+05
2023,강원도 평창군,32540,35247.97
2023,강원도 정선군,32550,1.12E+05
2023,충청북도 충주시,33020,119437.1
2023,충청북도 청주시,33040,2.65E+06
2023,충청북도 음성군,33570,43883.283
2023,충청북도 단양군,33580,8.59E+05
2023,충청남도 천안시,34011,7.58E+05
2023,충청남도 보령시,34030,125440.01
2023,충청남도 아산시,34040,3257512.5
2023,충청남도 서산시,34050,2546688.3
2023,충청남도 당진시,34080,1540172.3
2023,충청남도 금산군,34510,181945
2023,충청남도 서천군,34540,51596.107
2023,충청남도 홍성군,34560,18951.724
2023,전라북도 전주시,35011,596619.04
2023,전라북도 군산시,35020,2.16E+06
2023,전라북도 익산시,35030,3.95E+05
2023,전라북도 정읍시,35040,55554.363
2023,전라북도 완주군,35510,256562.93
2023,전라북도 무주군,35530,321726.85
2023,전라북도 순창군,35560,6.07E+03
2023,전라남도 여수시,36020,6549024.4
2023,전라남도 광양시,36060,3955337.5
2023,전라남도 담양군,36510,34270.836
2023,전라남도 곡성군,36520,84374.344
2023,전라남도 영암군,36610,229799.03
2023,경상북도 포항시,37011,5614138.6
2023,경상북도 경주시,37020,363426.8
2023,경상북도 김천시,37030,452088.76
2023,경상북도 구미시,37050,2281641.3
2023,경상북도 영주시,37060,136452.59
2023,경상북도 경산시,37100,84112.704
2023,경상남도 진주시,38030,185998.71
2023,경상남도 사천시,38060,112303
2023,경상남도 김해시,38070,47995.133
2023,경상남도 밀양시,38080,333655.76
2023,경상남도 거제시,38090,199021.7
2023,경상남도 양산시,38100,266663.35
2023,경상남도 창원시,38111,1112578.8
2023,경상남도 함안군,38520,562492.13
2023,경상남도 고성군,38540,44058.113
2023,서울특별시 성동구,11040,68431.509
2023,서울특별시 중랑구,11070,2589
2023,서울특별시 성북구,11080,3640.7285
2023,서울특별시 강북구,11090,14565.156
2023,서울특별시 도봉구,11100,3096
2023,서울특별시 노원구,11110,22676.156
2023,서울특별시 은평구,11120,17351.575
2023,서울특별시 양천구,11150,176812.18
2023,서울특별시 구로구,11170,17581.081
2023,서울특별시 동작구,11200,20751.075
2023,서울특별시 관악구,11210,33636.398
2023,서울특별시 강동구,11250,5359.3751
2023,부산광역시 중구,21010,25081.649
2023,부산광역시 서구,21020,0
2023,부산광역시 부산진구,21050,39258.614
2023,부산광역시 동래구,21060,10336.781
2023,부산광역시 북구,21080,0
2023,부산광역시 해운대구,21090,60243.301
2023,부산광역시 금정구,21110,2208.3858
2023,부산광역시 연제구,21130,4641.6704
2023,부산광역시 사상구,21150,17489.852
2023,부산광역시 기장군,21510,1.14E+05
2023,대구광역시 서구,22030,40239.027
2023,대구광역시 수성구,22060,1819.7083
2023,인천광역시 계양구,23070,47027.179
2023,인천광역시 옹진군,23520,23196
2023,광주광역시 동구,24010,9045.6171
2023,광주광역시 남구,24030,68.682348
2023,대전광역시 동구,25010,96.241883
2023,대전광역시 중구,25020,10492.902
2023,대전광역시 서구,25030,37134.233
2023,울산광역시 북구,26040,622176.5
2023,경기도 의정부시,31030,16183.592
2023,경기도 광명시,31060,86086.956
2023,경기도 고양시,31101,119111.76
