sigungu,sigungu_code,change(tCO2),change(MtCO2)
서울특별시 종로구,11010,-359815.55,-0.35981555
서울특별시 중구,11020,333936,0.333936
서울특별시 용산구,11030,-1435454.5,-1.4354545
서울특별시 광진구,11050,4480.19,0.00448019
서울특별시 동대문구,11060,-54627.5,-0.0546275
서울특별시 서대문구,11130,-210359.791,-0.210359791
서울특별시 마포구,11140,335885,0.335885
서울특별시 강서구,11160,1866896.1,1.8668961
서울특별시 금천구,11180,9479.68,0.00947968
서울특별시 영등포구,11190,-21802.66,-0.02180266
서울특별시 서초구,11220,-15405.7,-0.0154057
서울특별시 강남구,11230,-74752619.6,-74.7526196
서울특별시 송파구,11240,-153915.5,-0.1539155
부산광역시 남구,21070,2037.352,0.002037352
부산광역시 사하구,21100,-3289880,-3.28988
부산광역시 강서구,21120,-366796.4,-0.3667964
부산광역시 수영구,21140,-149.9096,-0.00014991
대구광역시 중구,22010,-94918.49,-0.09491849
대구광역시 동구,22020,43672.81,0.04367281
대구광역시 북구,22050,-88728.97,-0.08872897
대구광역시 달서구,22070,-7882.9,-0.0078829
대구광역시 달성군,22510,-83946,-0.083946
인천광역시 중구,23010,5099.3,0.0050993
인천광역시 동구,23020,-922221,-0.922221
인천광역시 연수구,23040,-32217.6,-0.0322176
인천광역시 남동구,23050,-70110.58,-0.07011058
인천광역시 부평구,23060,-148584.6,-0.1485846
인천광역시 서구,23080,-8555228,-8.555228
인천광역시 미추홀구,23090,-93629.16,-0.09362916
광주광역시 서구,24020,-2823,-0.002823
광주광역시 북구,24040,-110513.5,-0.1105135
광주광역시 광산구,24050,-191196.4,-0.1911964
대전광역시 유성구,25040,172914.4,0.1729144
대전광역시 대덕구,25050,-486535.4,-0.4865354
울산광역시 중구,26010,-204.226,-0.000204226
울산광역시 남구,26020,-13300000,-13.3
울산광역시 동구,26030,-266917.1,-0.2669171
울산광역시 울주군,26510,3400000,3.4
세종시 세종시,29010,533515,0.533515
경기도 수원시,31011,-328753,-0.328753
경기도 성남시,31021,-1010757,-1.010757
경기도 안양시,31041,920201,0.920201
경기도 부천시,31050,-400656.4,-0.4006564
경기도 평택시,31070,1340499,1.340499
경기도 안산시,31091,-4367462,-4.367462
경기도 오산시,31140,8042.4,0.0080424
경기도 시흥시,31150,-615756.1,-0.6157561
경기도 의왕시,31170,-109898.81,-0.10989881
경기도 용인시,31191,-3293008,-3.293008
경기도 파주시,31200,-2829652,-2.829652
경기도 안성시,31220,116482.4,0.1164824
경기도 김포시,31230,381394.53,0.38139453
경기도 화성시,31240,6148592,6.148592
경기도 광주시,31250,-82913.1,-0.0829131
경기도 양주시,31260,-31541.64,-0.03154164
강원도 원주시,32020,-1201796.2,-1.2017962
강원도 강릉시,32030,-3207504,-3.207504
강원도 영월군,32530,-2933331,-2.933331
강원도 평창군,32540,-34865.1,-0.0348651
강원도 정선군,32550,-150982.7,-0.1509827
충청북도 충주시,33020,32959.5,0.0329595
충청북도 청주시,33040,-5607390,-5.60739
충청북도 음성군,33570,16643.9,0.0166439
충청북도 단양군,33580,-100000,-0.1
충청남도 천안시,34011,-1412259,-1.412259
충청남도 보령시,34030,-7900000,-7.9
충청남도 아산시,34040,-2244835,-2.244835
충청남도 서산시,34050,-1600000,-1.6
충청남도 당진시,34080,5200000,5.2
충청남도 금산군,34510,-11498,-0.011498
충청남도 서천군,34540,-69531,-0.069531
전라북도 전주시,35011,-827046,-0.827046
전라북도 군산시,35020,-3299180,-3.29918
전라북도 익산시,35030,-337444.4,-0.3374444
전라북도 정읍시,35040,4899.1,0.0048991
전라북도 완주군,35510,-118168.2,-0.1181682
전라북도 무주군,35530,-53826.6,-0.0538266
전라북도 순창군,35560,25994.17,0.02599417
전라남도 여수시,36020,-2800000,-2.8
전라남도 광양시,36060,38800000,38.8
전라남도 담양군,36510,-42474.7,-0.0424747
전라남도 곡성군,36520,-193646.9,-0.1936469
전라남도 영암군,36610,158077.9,0.1580779
경상북도 포항시,37011,27900000,27.9
경상북도 경주시,37020,-4149017.5,-4.1490175
경상북도 김천시,37030,-1510983.9,-1.5109839
경상북도 구미시,37050,-4429491,-4.429491
경상북도 영주시,37060,-158799.6,-0.1587996
경상북도 경산시,37100,-9824,-0.009824
경상남도 진주시,38030,-228061,-0.228061
경상남도 사천시,38060,-47422.8,-0.0474228
경상남도 김해시,38070,293950,0.29395
경상남도 밀양시,38080,28415.7,0.0284157
경상남도 거제시,38090,-128362.9,-0.1283629
경상남도 양산시,38100,-335311.1,-0.3353111
경상남도 창원시,38111,-865035,-0.865035
경상남도 함안군,38520,-233739.7,-0.2337397
경상남도 고성군,38540,-13511145,-13.511145
서울특별시 성동구,11040,-14945.8,-0.0149458
서울특별시 중랑구,11070,-5476.723,-0.005476723
서울특별시 성북구,11080,-3380.499,-0.003380499
서울특별시 강북구,11090,-1560.56,-0.00156056
서울특별시 도봉구,11100,-38485.75,-0.03848575
서울특별시 노원구,11110,-45585.65,-0.04558565
서울특별시 은평구,11120,26158.11,0.02615811
서울특별시 양천구,11150,264425.9,0.2644259
서울특별시 구로구,11170,2849.27,0.00284927
서울특별시 동작구,11200,-26818.94,-0.02681894
서울특별시 관악구,11210,-22182.44,-0.02218244
서울특별시 강동구,11250,-13568.14,-0.01356814
부산광역시 중구,21010,47645.32,0.04764532
부산광역시 서구,21020,-108527.936,-0.108527936
부산광역시 부산진구,21050,-8626.88,-0.00862688
부산광역시 동래구,21060,1652.66,0.00165266
부산광역시 북구,21080,6823.843,0.006823843
부산광역시 해운대구,21090,136350.6,0.1363506
부산광역시 금정구,21110,-9131.71,-0.00913171
부산광역시 연제구,21130,4326.6,0.0043266
부산광역시 사상구,21150,-35484.67,-0.03548467
부산광역시 기장군,21510,-90394.1,-0.0903941
대구광역시 서구,22030,-19904.96,-0.01990496
대구광역시 수성구,22060,-5377.62,-0.00537762
인천광역시 계양구,23070,-20377.86,-0.02037786
인천광역시 옹진군,23520,-4500000,-4.5
광주광역시 동구,24010,3788.58,0.00378858
광주광역시 남구,24030,420.802,0.000420802
대전광역시 동구,25010,-47362.78,-0.04736278
대전광역시 중구,25020,-25509.36,-0.02550936
대전광역시 서구,25030,-44623.4,-0.0446234
울산광역시 북구,26040,-99856.9,-0.0998569
경기도 의정부시,31030,34235.36,0.03423536
경기도 광명시,31060,-14491.1,-0.0144911
경기도 고양시,31101,-1210945.9,-1.2109459
경기도 구리시,31120,-47049.36,-0.04704936
경기도 남양주시,31130,-2744.22,-0.00274422
경기도 군포시,31160,-275742.86,-0.27574286
경기도 하남시,31180,47324.754,0.047324754
경기도 이천시,31210,1531936,1.531936
경기도 포천시,31270,47151.463,0.047151463
경기도 여주시,31280,-550357.59,-0.55035759
경기도 가평군,31570,36234,0.036234
강원도 춘천시,32010,-22660.75,-0.02266075
강원도 동해시,32040,-3100000,-3.1
강원도 태백시,32050,4914.255,0.004914255
강원도 속초시,32060,-13333.523,-0.013333523
강원도 삼척시,32070,5763429,5.763429
강원도 홍천군,32510,-22326.85,-0.02232685
강원도 양양군,32610,-176403.2,-0.1764032
충청북도 제천시,33030,-662682,-0.662682
충청북도 영동군,33540,33061.85,0.03306185
충청북도 진천군,33550,10111,0.010111
충청북도 괴산군,33560,-23575.317,-0.023575317
충청남도 공주시,34020,-47444.94,-0.04744494
충청남도 논산시,34060,11323.3,0.0113233
충청남도 부여군,34530,-4939.97,-0.00493997
충청남도 청양군,34550,-21373.91,-0.02137391
충청남도 예산군,34570,71390.133,0.071390133
충청남도 태안군,34580,-4200000,-4.2
전라북도 남원시,35050,7843.863,0.007843863
전라북도 김제시,35060,6146.679,0.006146679
전라북도 고창군,35570,-30392.7,-0.0303927
전라남도 순천시,36030,-2275768.9,-2.2757689
전라남도 나주시,36040,-314830.3,-0.3148303
전라남도 영광군,36640,-15823.4,-0.0158234
경상북도 안동시,37040,493109.42,0.49310942
경상북도 청송군,37530,11378,0.011378
경상북도 칠곡군,37590,-171844.62,-0.17184462
경상북도 예천군,37600,-180681,-0.180681
경상북도 봉화군,37610,34166,0.034166
경상북도 울진군,37620,91923.48,0.09192348
경상남도 통영시,38050,-4689.88,-0.00468988
경상남도 의령군,38510,-68130.42,-0.06813042
경상남도 창녕군,38530,-56026.9,-0.0560269
경상남도 하동군,38560,-13500000,-13.5
경상남도 산청군,38570,82892.2,0.0828922
제주특별자치도 제주시,39010,-335240.9,-0.3352409
제주특별자치도 서귀포시,39020,-842362.8,-0.8423628
