year,sigungu,sigungu_code,agg_emi_s1_estab
2023,충청북도 증평군,33590,11252.319
2023,충청남도 공주시,34020,13602.75
2023,충청남도 논산시,34060,74010.192
2023,충청남도 부여군,34530,6161.1888
2023,충청남도 청양군,34550,20563.525
2023,충청남도 예산군,34570,15278.235
2023,충청남도 태안군,34580,24139041
2023,전라북도 남원시,35050,3317.239
2023,전라북도 김제시,35060,1424.671
2023,전라북도 고창군,35570,5563.9219
2023,전라남도 순천시,36030,156640.48
2023,전라남도 나주시,36040,393928.59
2023,전라남도 강진군,36590,9298.8328
2023,전라남도 무안군,36620,5663.8966
2023,전라남도 영광군,36640,7391.8369
2023,경상북도 안동시,37040,539829.44
2023,경상북도 청송군,37530,23
2023,경상북도 성주군,37580,5331
2023,경상북도 칠곡군,37590,12912.139
2023,경상북도 예천군,37600,849
2023,경상북도 봉화군,37610,348634.88
2023,경상북도 울진군,37620,22932
2023,경상남도 통영시,38050,5305.3028
2023,경상남도 의령군,38510,40747.078
2023,경상남도 창녕군,38530,51032.871
2023,경상남도 하동군,38560,13963677
2023,경상남도 산청군,38570,1123
2023,경상남도 거창군,38590,243.389
2023,제주특별자치도 제주시,39010,660037.37
2023,제주특별자치도 서귀포시,39020,155980.1
