year,sigungu,sigungu_code,agg_emi_s2_estab
2013,서울특별시 종로구,11010,190635.16
2013,서울특별시 중구,11020,1065140.6
2013,서울특별시 용산구,11030,516093.67
2013,서울특별시 광진구,11050,28707.569
2013,서울특별시 동대문구,11060,211855.8
2013,서울특별시 서대문구,11130,22974.536
2013,서울특별시 마포구,11140,92773.376
2013,서울특별시 강서구,11160,85298.76
2013,서울특별시 금천구,11180,46614.687
2013,서울특별시 영등포구,11190,26040.356
2013,서울특별시 서초구,11220,187115.63
2013,서울특별시 강남구,11230,4641694
2013,서울특별시 송파구,11240,220765.21
2013,부산광역시 부산진구,21050,45217.269
2013,부산광역시 남구,21070,3793.0669
2013,부산광역시 사하구,21100,403742.71
2013,부산광역시 강서구,21120,441341.91
2013,부산광역시 수영구,21140,311.98189
2013,대구광역시 중구,22010,48408.7
2013,대구광역시 동구,22020,37120.681
2013,대구광역시 북구,22050,48415.467
2013,대구광역시 달서구,22070,51878.686
2013,대구광역시 달성군,22510,207934.44
2013,인천광역시 중구,23010,159477.29
2013,인천광역시 연수구,23040,179273.77
2013,인천광역시 남동구,23050,53902.512
2013,인천광역시 서구,23080,245392.5
2013,광주광역시 북구,24040,187388.15
2013,광주광역시 광산구,24050,439580.03
2013,대전광역시 유성구,25040,91628.817
2013,대전광역시 대덕구,25050,590115.45
2013,울산광역시 중구,26010,5284.442
2013,울산광역시 남구,26020,6274715.3
2013,울산광역시 동구,26030,617290.08
2013,울산광역시 울주군,26510,3268140.5
2013,세종시 세종시,29010,477188.42
2013,경기도 성남시,31021,229964.69
2013,경기도 안양시,31041,92532.084
2013,경기도 부천시,31050,201375.74
2013,경기도 평택시,31070,1087314.4
2013,경기도 안산시,31091,1502308.7
2013,경기도 오산시,31140,109813.75
2013,경기도 시흥시,31150,228791.97
2013,경기도 군포시,31160,145763.96
2013,경기도 용인시,31191,3784927.3
2013,경기도 파주시,31200,1305786.6
2013,경기도 이천시,31210,1130937.5
2013,경기도 안성시,31220,79489.146
2013,경기도 화성시,31240,515725.89
2013,경기도 광주시,31250,20544.49
2013,경기도 양주시,31260,26191.732
2013,강원도 원주시,32020,1182108.2
2013,강원도 강릉시,32030,457397.07
2013,강원도 영월군,32530,429551.51
2013,강원도 평창군,32540,32406.54
2013,강원도 정선군,32550,270602.04
2013,충청북도 충주시,33020,83860.001
2013,충청북도 청주시,33040,5677375.2
2013,충청북도 진천군,33550,144138
2013,충청북도 단양군,33580,1312851.4
2013,충청남도 천안시,34011,885267.39
2013,충청남도 보령시,34030,54334.864
2013,충청남도 아산시,34040,2148660
2013,충청남도 서산시,34050,2253605.8
2013,충청남도 당진시,34080,3958320.6
2013,충청남도 금산군,34510,191953
2013,충청남도 서천군,34540,61693.685
2013,전라북도 전주시,35011,745477.47
2013,전라북도 군산시,35020,2141454.1
2013,전라북도 익산시,35030,314434.35
2013,전라북도 정읍시,35040,19688.704
2013,전라북도 완주군,35510,237300.28
2013,전라북도 무주군,35530,358115.82
2013,전라남도 여수시,36020,7630598.5
2013,전라남도 광양시,36060,4114515.7
2013,전라남도 담양군,36510,30811.259
2013,전라남도 곡성군,36520,188820
2013,전라남도 영암군,36610,188985.3
2013,경상북도 포항시,37011,4764441.4
2013,경상북도 경주시,37020,433567.87
2013,경상북도 김천시,37030,1267414
2013,경상북도 구미시,37050,2389144.1
2013,경상북도 영주시,37060,167970.73
2013,경상북도 경산시,37100,94243.303
2013,경상남도 진주시,38030,309793.54
2013,경상남도 사천시,38060,90683.257
2013,경상남도 김해시,38070,71669.686
2013,경상남도 거제시,38090,231219
2013,경상남도 양산시,38100,272533.37
2013,경상남도 창원시,38111,1437277.7
2013,경상남도 함안군,38520,401661.17
2013,서울특별시 성동구,11040,73832.195
2013,서울특별시 중랑구,11070,7916.5741
2013,서울특별시 성북구,11080,10114.405
2013,서울특별시 강북구,11090,16202.572
2013,서울특별시 도봉구,11100,25150.671
2013,서울특별시 노원구,11110,52765.02
2013,서울특별시 은평구,11120,16671.166
2013,서울특별시 양천구,11150,116598
2013,서울특별시 구로구,11170,26848.498
2013,서울특별시 동작구,11200,13486.917
2013,서울특별시 관악구,11210,38047.066
2013,서울특별시 강동구,11250,16255.975
2013,부산광역시 중구,21010,28394.567
2013,부산광역시 서구,21020,7137.0641
2013,부산광역시 동구,21030,0
2013,부산광역시 영도구,21040,3143.8091
2013,부산광역시 동래구,21060,15527.908
2013,부산광역시 북구,21080,0
2013,부산광역시 해운대구,21090,170768.9
2013,부산광역시 금정구,21110,13822.596
2013,부산광역시 연제구,21130,11107.585
2013,부산광역시 사상구,21150,42278.269
2013,부산광역시 기장군,21510,210906.93
2013,대구광역시 서구,22030,46712.999
2013,대구광역시 수성구,22060,14032.814
2013,인천광역시 동구,23020,1500377.2
2013,인천광역시 부평구,23060,265334.61
2013,인천광역시 계양구,23070,55690.593
2013,인천광역시 미추홀구,23090,39681.191
2013,인천광역시 옹진군,23520,5091
2013,광주광역시 동구,24010,11537.97
2013,광주광역시 서구,24020,90185.631
2013,광주광역시 남구,24030,2724.9071
2013,대전광역시 동구,25010,6297.6189
2013,대전광역시 중구,25020,19723.004
2013,대전광역시 서구,25030,61825.27
2013,울산광역시 북구,26040,709102.58
2013,경기도 수원시,31011,276701.26
2013,경기도 의정부시,31030,21769.585
2013,경기도 광명시,31060,95586.76
2013,경기도 고양시,31101,110182
2013,경기도 과천시,31110,2514.4099
2013,경기도 구리시,31120,28252.104
2013,경기도 남양주시,31130,14241.967
2013,경기도 의왕시,31170,4993.3213
2013,경기도 하남시,31180,6825.1169
2013,경기도 김포시,31230,6481.1382
2013,경기도 포천시,31270,2378.084
2013,경기도 여주시,31280,78833.42
2013,경기도 가평군,31570,153280.7
2013,강원도 춘천시,32010,10994.54
2013,강원도 동해시,32040,1024746.5
2013,강원도 태백시,32050,861.57501
2013,강원도 속초시,32060,2274.9341
2013,강원도 삼척시,32070,591681.09
2013,강원도 홍천군,32510,24724.588
2013,강원도 양양군,32610,546146
2013,충청북도 제천시,33030,168130.98
2013,충청북도 영동군,33540,2067.8301
2013,충청북도 괴산군,33560,32228.201
2013,충청북도 음성군,33570,41020.068
2013,충청남도 공주시,34020,51470.429
2013,충청남도 논산시,34060,32459
2013,충청남도 부여군,34530,0
2013,충청남도 청양군,34550,26100.285
2013,충청남도 예산군,34570,2358.563
2013,충청남도 태안군,34580,9948.4
2013,전라북도 남원시,35050,928.875
2013,전라북도 김제시,35060,0
2013,전라북도 순창군,35560,8382.9724
2013,전라북도 고창군,35570,18795.005
2013,전라남도 목포시,36010,2818.3721
2013,전라남도 순천시,36030,29133.359
2013,전라남도 나주시,36040,119171.61
2013,전라남도 함평군,36630,355.83183
2013,전라남도 영광군,36640,98816.547
2013,경상북도 안동시,37040,5159.5759
2013,경상북도 영천시,37070,1312.1689
2013,경상북도 상주시,37080,1539.2111
2013,경상북도 청송군,37530,346360
